,score,trophy_level,accuracy,speed,final_score,negative_score,correct_answers,incorrect_answers,better_than,total_questions,mistakes_corrected,initial_mistake_count,rank
score,1.0,-0.3580194893973842,0.6642348455658389,0.3528344385003549,0.986291792783322,-0.42377834237530426,1.0,-0.42377834237530426,0.5231271885923174,0.05435738351625159,0.8951253264808295,0.16105378401716555,0.24582208189717233
trophy_level,-0.3580194893973842,1.0,-0.5820236435152251,-0.7502202427297813,-0.4218769517036811,0.5291829288340694,-0.3580194893973842,0.5291829288340694,-0.44660862218174985,0.38482896806668354,-0.2858819572570804,0.3720656930606351,-0.2781030976353206
accuracy,0.6642348455658389,-0.5820236435152251,1.0,0.34029925078476747,0.763612277639629,-0.8769659232766125,0.6642348455658389,-0.8769659232766125,0.7146674728491061,-0.3867447155256199,0.5469673037793575,-0.5661533318918696,0.4384785478585938
speed,0.3528344385003549,-0.7502202427297813,0.34029925078476747,1.0,0.3682286827354364,-0.26057418365110674,0.35283443850035484,-0.26057418365110674,0.07128957245241371,0.08204459962669314,0.42411435871442715,0.012018712189542466,0.0018174984867924617
final_score,0.986291792783322,-0.4218769517036811,0.763612277639629,0.3682286827354364,1.0,-0.5674300840781156,0.986291792783322,-0.5674300840781156,0.5812137849172141,-0.025398970322689774,0.8913313648965824,0.0039679304983729746,0.3017920921631416
negative_score,-0.42377834237530426,0.5291829288340694,-0.8769659232766125,-0.26057418365110674,-0.5674300840781156,1.0,-0.42377834237530415,1.0,-0.5798986509644156,0.41066793816283764,-0.4258639619932431,0.781896083733696,-0.42989835440154006
correct_answers,1.0,-0.3580194893973842,0.6642348455658389,0.35283443850035484,0.986291792783322,-0.42377834237530415,1.0,-0.42377834237530426,0.5231271885923174,0.05435738351625159,0.8951253264808295,0.16105378401716555,0.24582208189717233
incorrect_answers,-0.42377834237530426,0.5291829288340694,-0.8769659232766125,-0.26057418365110674,-0.5674300840781156,1.0,-0.42377834237530426,1.0,-0.5798986509644156,0.41066793816283764,-0.4258639619932431,0.781896083733696,-0.42989835440154006
better_than,0.5231271885923174,-0.44660862218174985,0.7146674728491061,0.07128957245241371,0.5812137849172141,-0.5798986509644156,0.5231271885923174,-0.5798986509644156,1.0,-0.7221858228705698,0.26047524611247314,-0.44410690281066606,0.8573321749067171
total_questions,0.05435738351625159,0.38482896806668354,-0.3867447155256199,0.08204459962669314,-0.025398970322689774,0.41066793816283764,0.05435738351625159,0.41066793816283764,-0.7221858228705698,1.0,0.21906670522764318,0.5925394387355277,-0.5746581271398734
mistakes_corrected,0.8951253264808295,-0.2858819572570804,0.5469673037793575,0.42411435871442715,0.8913313648965824,-0.4258639619932431,0.8951253264808295,-0.4258639619932431,0.26047524611247314,0.21906670522764318,1.0,0.23107092865464413,0.03802353088844321
initial_mistake_count,0.16105378401716555,0.3720656930606351,-0.5661533318918696,0.012018712189542466,0.0039679304983729746,0.781896083733696,0.16105378401716555,0.781896083733696,-0.44410690281066606,0.5925394387355277,0.23107092865464413,1.0,-0.4360801856685289
rank,0.24582208189717233,-0.2781030976353206,0.4384785478585938,0.0018174984867924617,0.3017920921631416,-0.42989835440154006,0.24582208189717233,-0.42989835440154006,0.8573321749067171,-0.5746581271398734,0.03802353088844321,-0.4360801856685289,1.0
